STATE,REGION,High_F,Low_F,High_C,Low_C
Andaman & Nicobar,Southern,86,72,30,22
Andhra Pradesh,Southern,82.5,74.5,28,23.5
Assam,Eastern,83.5,66,28.5,18.5
Bihar,Northern,89,67,31,20
Chandigarh,Northern,87,62,30,17
Chhattisgarh,Eastern,91,70,33,21
Delhi,Northern,88,66,31,19
Goa,Western,89,74,32,23
Gujarat,Western,93.25,69.25,33.75,21
Himachal Pradesh,Northern,62,50,17,10
Jammu and Kashmir,Northern,67,45,20,7
Jharkhand,Eastern,85,65,29,18
Karnataka,Southern,85.5,66,29.5,19
Kerala,Southern,88,74,31,23
Lakshadweep,Southern,88,76,31,25
Madhya Pradesh,Northern,89,65,32,18.5
Maharashtra,Western,89.6,67.2,32.2,19.4
Meghalaya,Eastern,69.5,55.5,21,13
Nagaland,Eastern,72,58,22,15
Orissa (Odisha),Eastern,90,71.5,32.5,22
Pondicherry,Southern,92,75,33,24
Punjab,Northern,86.5,61.5,30,16
Rajasthan,Western,90.5,68,32.5,20
Tamil Nadu,Southern,91.25,74.75,32.75,23.75
Telangana,Southern,90,70,32,21
Tripura,Eastern,87,68,31,20
Uttar Pradesh,Northern,87,68,31,20
Uttarakhand,Northern,73.5,53.5,23.5,11.5
West Bengal,Eastern,88,72.5,31,22.5